,Article,Date,Symbol,Time,Title,Url
0,  April 19 Jacobs Engineering Group Inc* Jacobs wins framework contract from Transport Infrastructure Ireland  * Says awarded a mew four-year contract from Transport Infrastructure Ireland  Source text for Eikon:  Further company coverage:    (Bengaluru Newsroom: +1-646-223-8780) ,2016-04-19,JEC,"Tue Apr 19, 2016 | 8:05am EDT",BRIEF-Jacobs wins framework contract from Transport Infrastructure Ireland,http://www.reuters.com//article/idUSASD08E1N?type=companyNews
1,"  May 5 Jacobs Engineering Group Inc* Jacobs engineering group inc. Reports earnings for the second quarter of fiscal 2016* Sees fy 2016 adjusted earnings per share $2.90 to $3.20 * Q2 adjusted earnings per share $0.75* Q2 earnings per share $0.54 * Q2 revenue $2.8 billion versus i/b/e/s view $2.78 billion * Q2 earnings per share view $0.68 -- Thomson Reuters I/B/E/S* Jacobs engineering group inc says backlog at april 1, 2016 of $18.2 billion, steady at q1 of fiscal 2016 level  Source text for Eikon:  Further company coverage:    (Bengaluru Newsroom: +1-646-223-8780)",2016-05-05,JEC,"Thu May 5, 2016 | 8:28am EDT",BRIEF-Jacobs Engineering reports Q2 earnings per share of $0.54,http://www.reuters.com//article/idUSASC08N84?type=companyNews
2,"  May 5 Jacobs Engineering Group Inc* Cost reduction initiative delivering strong results - now targeting annual savings of $240m-$270m* Qtrly GAAP EPS of $0.54* Q2 adjusted earnings per share $0.75 * Jacobs Engineering Group Inc qtrly revenues $2.78 billion versus $2.90 billion * Backlog at April 1, 2016 of $18.2 billion, steady at Q1 of fiscal 2016 level* Q2 earnings per share view $0.68, revenue view $2.78 billion -- Thomson Reuters I/B/E/S * Narrowing our guidance for full year to an adjusted EPS of $2.90-$3.20* FY2016 earnings per share view $3.00 -- Thomson Reuters I/B/E/S  Source text for Eikon:  Further company coverage:    (Bengaluru Newsroom: +1 646 223 8780)",2016-05-05,JEC,"Thu May 5, 2016 | 7:47am EDT",BRIEF-Jacobs Engineering Group posts Q2 adj. earnings $0.75/shr,http://www.reuters.com//article/idUSFWN1820KJ?type=companyNews
3,"  May 10 Jacobs Engineering Group Inc :* Says under terms of agreement, Jacobs is providing engineering services for $100 million investment * Says project is expected to be complete by late 2017 * Contract to provide engineering services for expansion of mitsubishi's polyester film plant in greenville county, south carolina * Jacobs wins contract with mitsubishi  Source text for Eikon:  Further company coverage:    (Bengaluru Newsroom: +1-646-223-8780)",2016-05-10,JEC,"Tue May 10, 2016 | 7:55am EDT",BRIEF-Jacobs wins contract with Mitsubishi,http://www.reuters.com//article/idUSASC08OE0?type=companyNews
4,  May 24 Jacobs Engineering Group Inc : * Jacobs receives contract for paints plant in India  Source text for Eikon:  Further company coverage:    (Bengaluru Newsroom: +1-646-223-8780)  ,2016-05-24,JEC,"Tue May 24, 2016 | 7:55am EDT",BRIEF-Jacobs receives contract for paints plant in India,http://www.reuters.com//article/idUSASC08R02?type=companyNews
5,  May 24 Jacobs Engineering Group Inc : * Jacobs wins IT and data center operations contract for U.S. Army Missiles & Space  Source text for Eikon:  Further company coverage:    (Bengaluru Newsroom: +1-646-223-8780)  ,2016-05-24,JEC,"Tue May 24, 2016 | 7:55am EDT","BRIEF-Jacobs wins IT, data center operations contract for U.S. Army missiles & Space",http://www.reuters.com//article/idUSASC08R01?type=companyNews
6,"  June 7 Jacobs Engineering* Contract, with a maximum value of approximately $4.9 million, has a base period of three years followed by two three-year options  * Jacobs wins coal ash consulting contract for city utilities of Springfield, Mo.  Source text for Eikon:  Further company coverage:    ) ",2016-06-07,JEC,"Tue Jun 7, 2016 | 7:52am EDT",BRIEF-Jacobs wins coal ash consulting contract for city utilities of Springfield,http://www.reuters.com//article/idUSASC08SY0?type=companyNews
7,"  MELBOURNE, June 8 Jacobs Engineering has won the main contract to build the $5.3 billion Oyu Tolgoi underground copper and gold mine in Mongolia, the companies said on Wednesday.Development of the underground mine at Oyu Tolgoi is key to operator Rio Tinto's  ambitions to expand in copper and for the growth of the Mongolian economy, which has suffered with the global commodities slump.""Following the final notice to proceed for the underground development last month, this contract is a critical piece as we ramp up towards full construction,"" Oyu Tolgoi Chief Executive Andrew Woodley said in a statement.Bernstein Research on Wednesday raised questions over the expected 20 percent internal rate of return on the underground project, based on the long lead-time to full production and potential risks, including political shifts and the challenges of block cave mining. ""The project has significant technical and non-technical risks that could derail the investment case, even if copper prices increase to above $3.0 per pound as Rio expects (and, indeed, so do we),"" Bernstein analysts said.Their conclusion was based on an assessment of the Oyu Tolgoi underground project that they commissioned from Rio Tinto's former general manager of valuation, Neal Brewster. The first stage of Oyu Tolgoi, an open pit mine, was approved in 2010 and started producing in 2013. The underground project was put on hold in 2013 amid disputes with the government which were resolved last year. ""It's a 17-year window over which they will have been investing and ramping up,"" said Bernstein analyst Paul Gait.""Had they known the delays and the issues the Mongolian political situation precipitated, I don't think they would have pressed the button (on Oyu Tolgoi) in 2010 in its entirety,"" Bernstein analyst Paul Gait said.Rio Tinto declined to comment on the Bernstein report.   (Reporting by Sonali Paul; Editing by Ed Davies)",2016-06-08,JEC,"Wed Jun 8, 2016 | 4:04am EDT",Jacobs Engineering to build Rio Tinto's $5.3 bln Mongolian mine,http://www.reuters.com//article/rio-tinto-mongolia-idUSL4N1902HP?type=companyNews
8,  June 14 Jacobs Engineering Group Inc* Contract is valued at $427 million over five years  * Jacobs awarded T4S contract from naval air warfare center weapons division  Source text for Eikon:  Further company coverage: ,2016-06-14,JEC,"Tue Jun 14, 2016 | 8:18am EDT",BRIEF-Jacobs awarded T4S contract from Naval Air Warfare Center weapons division,http://www.reuters.com//article/idUSASC08TY5?type=companyNews
9,  June 21 Jacobs Engineering Group Inc : * Jacobs wins detailed engineering and procurement services contract for TCI Sanmar PVC-2 expansion project in Egypt  Source text for Eikon:  Further company coverage:    (Bengaluru Newsroom: +1-646-223-8780)  ,2016-06-21,JEC,"Tue Jun 21, 2016 | 8:08am EDT",BRIEF-Jacobs wins detailed engineering and procurement services contract,http://www.reuters.com//article/idUSASC08UU1?type=companyNews
10,  July 14 Jacobs Engineering Group Inc : * Says received a 3-year contract from Sipchem to provide general engineering services at Jubail City facilities  Source text for Eikon:  Further company coverage:    (Bengaluru Newsroom: +1-646-223-8780)  ,2016-07-14,JEC,"Thu Jul 14, 2016 | 7:48am EDT",BRIEF-Jacobs Engineering Group receives 3-year contract from Sipchem,http://www.reuters.com//article/idUSFWN1A00GT?type=companyNews
11,"  July 15 Jacobs Engineering Group Inc* Entered a share purchase agreement to transfer operations within its Jacobs France subsidiary to NOX SARL in France  * Transaction value was not disclosed, and was settled in cash at completion  Source text for Eikon:  Further company coverage: ",2016-07-15,JEC,"Fri Jul 15, 2016 | 9:56am EDT",BRIEF-Jacobs Engineering to transfer operations within its Jacobs France subsidiary to NOX SARL,http://www.reuters.com//article/idUSFWN1A10BZ?type=companyNews
12,"  July 26 Jacobs Engineering Group Inc* Jacobs expands its field services capability * Goal to certify 95 percent of its entire united states field services workforce by January 2017  * Expansion of its field services business, including additional presence on gulf coast  Source text for Eikon:  Further company coverage:",2016-07-26,JEC,"Tue Jul 26, 2016 | 8:24am EDT",BRIEF-Jacobs Engineering Group to expand its field services capability,http://www.reuters.com//article/idUSFWN1AC0LX?type=companyNews
13,"  Aug 9 Jacobs Engineering Group Inc* Q3 earnings per share $0.57* Jacobs Engineering Group Inc. reports earnings for the third quarter of fiscal 2016 * Q3 adjusted earnings per share $0.78 * Q3 earnings per share view $0.75 -- Thomson Reuters I/B/E/S * Total backlog of $18.3 billion at July 1, 2016, including a technical professional services component of $11.9 billion.* Qtrly revenues $2.7 billion versus $2.91 billion  Source text for Eikon:  Further company coverage:",2016-08-09,JEC,"Tue Aug 9, 2016 | 7:02am EDT",BRIEF-Jacobs Engineering Group Q3 adjusted EPS $0.78,http://www.reuters.com//article/idUSASC091PD?type=companyNews
14,  Aug 10 Jacobs Engineering Group Inc : * Jacobs awarded transformation contract with UK ministry Of defence  Source text for Eikon:  Further company coverage:  ,2016-08-10,JEC,"Wed Aug 10, 2016 | 8:13am EDT",BRIEF-Jacobs awarded transformation contract with UK Ministry Of Defence,http://www.reuters.com//article/idUSASC09265?type=companyNews
15,"  Aug 11 Jacobs Engineering Group Inc :* Jacobs awarded contract for Novartis Biotechnology Center expansion in France * $100 million expansion project is scheduled to be completed in four years  * Providing engineering, procurement, construction management services to increase site's production capacity by 70 percent  Source text for Eikon:  Further company coverage:",2016-08-11,JEC,"Thu Aug 11, 2016 | 8:08am EDT",BRIEF-Jacobs wins contract for Novartis Biotechnology Center expansion,http://www.reuters.com//article/idUSASC092HT?type=companyNews
16,  Aug 24 Jacobs Engineering Group Inc * Jacobs secures engineering services agreement with Transcanada  Source text for Eikon:  Further company coverage:  ,2016-08-24,JEC,"Wed Aug 24, 2016 | 8:00am EDT",BRIEF-Jacobs secures engineering services agreement with Transcanada,http://www.reuters.com//article/idUSASC0943Z?type=companyNews
17,"  Aug 31 Jacobs Engineering Group Inc :* Jacobs acquires Bayqik sulfuric acid converter technology from Bayer AG * Terms of transaction will not be disclosed.  * Under terms of agreement, technology transfer includes all relevant bayer technical, commercial and market information  Source text for Eikon:  Further company coverage:",2016-08-31,JEC,"Wed Aug 31, 2016 | 8:59am EDT",BRIEF-Jacobs acquires the rights to BAYQIK from Bayer AG,http://www.reuters.com//article/idUSFWN1BC08X?type=companyNews
18,"  Sept 13 Jacobs Engineering Group Inc* Jacobs wins contract from INEOS for LAO unit in Texas * Received a contract from INEOS Oligomers to design and build a Linear Alpha Olefin (lao) unit at INEOS petrochemical complex  * LAO unit is expected to come online in Nov. 2018, with a production capacity of 420,000 metric tons per annum.  Source text for Eikon:  Further company coverage:",2016-09-13,JEC,"Tue Sep 13, 2016 | 8:04am EDT",BRIEF-Jacobs wins contract from INEOS for LAO unit in Texas,http://www.reuters.com//article/idUSFWN1BP06S?type=companyNews
19,  Oct 19 Jacobs Engineering Group Inc -* Jacobs wins contract extension for Transperth Route Information System in Australia  * Jacobs received 5-year contract extension from Western Australia Public Transport Authority to provide support services for TRIS  Source text for Eikon:  Further company coverage: ,2016-10-19,JEC,"Wed Oct 19, 2016 | 8:14am EDT",BRIEF-Jacobs wins contract extension for TRIS in Australia,http://www.reuters.com//article/idUSFWN1CP0FU?type=companyNews
20,"  Oct 24 Jacobs Engineering Group Inc* Jacobs relocates global headquarters to dallas  * Jacobs engineering group inc says has moved its headquarters from pasadena, california to dallas  Source text for Eikon:  Further company coverage: ",2016-10-24,JEC,"Mon Oct 24, 2016 | 10:32am EDT",BRIEF-Jacobs Engineering Group relocates global headquarters to Dallas,http://www.reuters.com//article/idUSFWN1CU0RM?type=companyNews
