,id,avg_writer_rating
0,149,5.1
1,365,3.95
2,540,4.65
3,717,7.225
4,745,7.65614035088
5,771,5.5
6,848,7.3
7,884,7.1
8,978,6.465625
9,996,3.2
10,1061,7.5
11,1093,6.44285714286
12,1108,6.1
13,1125,6.56666666667
14,1210,6.83333333333
15,1269,7.7
16,1274,5.6
17,1290,4.6
18,1322,8.5
19,1323,2.8
20,1333,6.0
21,1334,7.4
22,1403,6.66666666667
23,1436,7.2
24,1442,5.6
25,1648,4.8
26,1731,6.83333333333
27,1788,5.70625
28,1803,6.63333333333
29,1820,4.2
30,1829,4.9
31,1835,6.6
32,1836,6.1
33,1840,7.0
34,1863,4.1
35,1947,7.8
36,2001,8.0
37,2003,6.7
38,2216,5.0
39,2282,5.9
40,2314,8.26666666667
41,2321,5.2
42,2371,8.2
43,2396,5.0
44,2411,7.2
45,2561,7.63333333333
46,2573,4.2
47,2576,6.46666666667
48,2704,4.1
49,2714,5.9
50,2762,6.2
51,2766,6.22
52,2770,4.0
53,2778,7.7
54,2780,7.45
55,2821,7.65
56,2848,5.2
57,2908,4.25
58,3014,6.74857142857
59,3017,6.8
60,3075,8.4
61,3096,7.0
62,3128,4.4
63,3136,6.425
64,3171,5.2
65,3184,6.2
66,3215,5.7
67,3234,3.9
68,3244,8.1
69,3266,5.2
70,3272,7.7
71,3344,7.1
72,3364,6.3
73,3378,4.1
74,3450,8.1
75,3457,8.6
76,3483,6.2
77,3498,7.8
78,3516,9.0
79,3745,7.9
80,3800,6.2
81,3826,7.6
82,3838,7.8
83,3886,5.7
84,4075,6.8
85,4083,9.0
86,4185,7.2
87,4208,7.1
88,4291,6.8
89,4303,7.5
90,4347,5.5
91,4409,5.3
92,4437,3.3
93,4490,7.02
94,4522,7.5
95,4549,7.8
96,4571,7.35
97,4613,7.2
98,4647,6.2125
99,4680,7.2
100,4711,4.8
101,4726,5.7125
102,4727,5.7
103,4811,4.8
104,4814,8.6
105,4839,6.8
106,4910,7.4
107,4915,7.1
108,4917,3.5
109,4919,7.0
110,4991,4.5
111,4992,9.2
112,4999,5.8
113,5152,6.6
114,5167,5.2
115,5261,5.5
116,5320,6.4
117,5328,6.12
118,5349,6.6
119,5384,3.98
120,5400,5.2
121,5423,5.8
122,5430,7.9
123,5483,8.5
124,5519,6.94
125,5538,7.4
126,5547,8.2
127,5590,6.35
128,5646,8.1
