,Article,Date,Symbol,Time,Title,Url,compound,neg,neu,pos
0,"  MADRID Billionaire financier George Soros has bought a 3.1 percent stake in FCC (FCC.MC), a source familiar with the matter said on Friday, in a further boost for the indebted Spanish builder already backed by Microsoft (MSFT.O) founder Bill Gates.The stake - bought from the company's biggest shareholder Esther Koplowitz, whose daughter chairs the company - is partly held via derivative contracts and also through two funds associated with Soros, the source said.FCC declined to comment. FCC shares rallied last week on reports of Soros's involvement, which follows Gates's purchase of a 6 percent stake in FCC in October.The renewed interest in the building group underlines investor optimism for an economic turnaround in Spain, which exited a prolonged recession in the third quarter of 2013. FCC shares were up 5.4 percent at 17.15 euros ($23.4) at 12.10 GMT. ($1 = 0.7322 euros)(Reporting by Jose Elias Rodriguez; writing by Sarah White; editing by Tom Pfeiffer)",2014-01-03,MSFT,"Fri Jan 3, 2014 | 7:33am EST",Billionaire Soros buys stake in Spanish builder FCC: source,http://www.reuters.com//article/us-fcc-soros-idUSBREA020DP20140103?type=companyNews,0.875,0.018,0.88,0.102
1,"  MADRID Jan 3 Billionaire financier George Soros has bought a 3.1 percent stake in FCC, a source familiar with the matter said on Friday, in a further boost for the indebted Spanish builder already backed by Microsoft  founder Bill Gates.The stake - bought from the company's biggest shareholder Esther Koplowitz, whose daughter chairs the company - is partly held via derivative contracts and also through two funds associated with Soros, the source said.FCC declined to comment. FCC shares rallied last week on reports of Soros's involvement, which follows Gates's purchase of a 6 percent stake in FCC in October. The renewed interest in the building group underlines investor optimism for an economic turnaround in Spain, which exited a prolonged recession in the third quarter of 2013. FCC shares were up 5.4 percent at 17.15 euros ($23.4) at 12.10 GMT.",2014-01-03,MSFT,"Fri Jan 3, 2014 | 7:31am EST",Billionaire Soros buys stake in Spanish builder FCC - source,http://www.reuters.com//article/fcc-soros-idUSL6N0KD1OD20140103?type=companyNews,0.875,0.02,0.868,0.112
2,"  SEATTLE Microsoft Corp said on Monday that sales of its new Xbox One game console topped three million at the end of last year after launching in November.The third generation of the Xbox is competing head-to-head with Sony Corp's PlayStation 4, also launched in November. Sony said it had sold 2.1 million PS4s by the first week of December.It will not be clear which company is leading the console battle until Sony updates that figure. The sales of the new Xbox are in line with expectations, said Michael Pachter, an analyst at Wedbush Securities, who also estimates PlayStation sales around the 3 million mark. Hot sales of both consoles have been a boon for Advance Micro Devices Inc, which developed or supplied chips for both devices. (Reporting by Bill Rigby and Malathi Nayak. Editing by Andre Grenon)",2014-01-06,MSFT,"Mon Jan 6, 2014 | 1:30pm EST","Xbox One sales top 3 million, no new Sony data",http://www.reuters.com//article/us-microsoft-xbox-idUSBREA050TO20140106?type=companyNews,-0.2695,0.034,0.939,0.027
3,"  SEATTLE Jan 6 Microsoft Corp said on Monday that sales of its new Xbox One game console topped three million at the end of last year after launching in November.The third generation of the Xbox is competing head-to-head with Sony Corp's PlayStation 4, also launched in November. Sony said it had sold 2.1 million PS4s by the first week of December. It will not be clear which company is leading the console battle until Sony updates that figure. The sales of the new Xbox are in line with expectations, said Michael Pachter, an analyst at Wedbush Securities, who also estimates PlayStation sales around the 3 million mark. Hot sales of both consoles have been a boon for Advance Micro Devices Inc, which developed or supplied chips for both devices.",2014-01-06,MSFT,"Mon Jan 6, 2014 | 1:27pm EST","Xbox One sales top 3 million, no new Sony data",http://www.reuters.com//article/microsoft-xbox-idUSL2N0KG1CE20140106?type=companyNews,-0.2695,0.037,0.935,0.028
4,"  DETROIT Ford Motor Co (F.N) Chief Executive Alan Mulally will not take a job at software giant Microsoft Corp (MSFT.O) and will remain at the U.S. automaker through at least this year, according to the Associated Press.A person close to the matter told Reuters Mulally is no longer under consideration for the top job at Microsoft.Mulally, in an interview with the AP, said he wants to end the Microsoft speculation ""because I have no other plans to do anything other than serve Ford."" When the AP asked whether his comments should end concerns from investors about his exit, Mulally said: ""You don't have to worry about me leaving.""Ford spokesman Jay Cooney confirmed the comments. After news of the interview, Ford shares rose 1.3 percent in extended trade, while Microsoft shares fell 1.1 percent. Several prominent Microsoft investors had campaigned behind the scenes for Mulally to succeed Microsoft's retiring CEO Steve Ballmer. But Mulally's candidacy for the job attracted considerable media attention that overshadowed Ford's product-related announcements, such as the roll-out of the new Mustang. This frustrated Ford's board of directors, people familiar with the matter said.(Reporting by Deepa Seetharaman and Bernie Woodall in Detroit; Nadia Damouni in New York; Editing by Dan Grebler)",2014-01-07,MSFT,"Tue Jan 7, 2014 | 6:23pm EST","Ford CEO not going to Microsoft, to stay at Ford through 2014",http://www.reuters.com//article/us-autos-ford-ceo-idUSBREA061AJ20140107?type=companyNews,0.8077,0.036,0.875,0.088
5,"  DETROIT Jan 7 Ford Motor Co Chief Executive Alan Mulally will not take a job at software giant Microsoft Corp and will remain at the U.S. automaker through at least this year, according to the Associated Press.A person close to the matter told Reuters Mulally is no longer under consideration for the top job at Microsoft. Mulally, in an interview with the AP, said he wants to end the Microsoft speculation ""because I have no other plans to do anything other than serve Ford.""When the AP asked whether his comments should end concerns from investors about his exit, Mulally said: ""You don't have to worry about me leaving."" Ford spokesman Jay Cooney confirmed the comments. After news of the interview, Ford shares rose 1.3 percent in extended trade, while Microsoft shares fell 1.1 percent. Several prominent Microsoft investors had campaigned behind the scenes for Mulally to succeed Microsoft's retiring CEO Steve Ballmer. But Mulally's candidacy for the job attracted considerable media attention that overshadowed Ford's product-related announcements, such as the roll-out of the new Mustang.This frustrated Ford's board of directors, people familiar with the matter said.",2014-01-07,MSFT,"Tue Jan 7, 2014 | 6:21pm EST","UPDATE 1-Ford CEO not going to Microsoft, to stay at Ford through 2014",http://www.reuters.com//article/autos-ford-ceo-idUSL2N0KH2B320140107?type=companyNews,0.8077,0.039,0.864,0.097
6,"  DETROIT Jan 7 Ford Motor Co Chief Executive Alan Mulally will not take a job at software giant Microsoft Corp and will remain at the U.S. automaker through at least this year, according to the Associated Press.A Ford spokesman confirmed that Mulally said he plans to remain at the automaker through the end of the year, but he could not confirm whether Mulally said specifically he would not pursue a job with Microsoft.  ""Alan made it absolutely clear today that he has no plans to do anything else other than to continue serving Ford. He's completely focused on making progress with the One Ford Plan,"" said Ford spokesman Jay Cooney. ""There is no change from our previously announced plans."" ",2014-01-07,MSFT,"Tue Jan 7, 2014 | 5:46pm EST","Ford CEO not going to Microsoft, will stay at Ford through 2014 -AP",http://www.reuters.com//article/autos-ford-ceo-idUSL2N0KH2AN20140107?type=companyNews,0.7769,0.044,0.867,0.089
7,"  (Corrects case in ""Mulally"")By Chuck Mikolajczak NEW YORK Jan 7 Microsoft Corp :  * Down 1.8 percent in extended trade after AP report Ford Motor CEO Mulally will stay at automaker.   (Reporting by Chuck Mikolajczak)",2014-01-07,MSFT,"Tue Jan 7, 2014 | 5:44pm EST",CORRECTED-BRIEF-Microsoft down 1.8 pct in extended trade after report Ford CEO will stay at automaker,http://www.reuters.com//article/microsoft-brief-idUSWEN00BZV20140107?type=companyNews,0.0,0.0,1.0,0.0
8,  DETROIT Jan 7 Ford Motor Co CEO Alan Mulally says to AP:  * CEO Mulally says not going to Microsoft will remain at Ford at least through 2014-AP reports  ,2014-01-07,MSFT,"Tue Jan 7, 2014 | 5:33pm EST","BRIEF-Ford CEO Mulally says not going to Microsoft, will remain at Ford at least through 2014-AP",http://www.reuters.com//article/fordmotor-brief-idUSWEN00BZU20140107?type=companyNews,0.0,0.0,1.0,0.0
9,"  By Liana B. BakerLAS VEGAS Jan 7 Sony Corp will begin testing a new television service that combines traditional viewing with on-demand content through its PlayStation gaming system, a cloud-based service could possibly change long-established cable and media industry relationships.Sony executives described the as-yet unnamed service on Tuesday as a blend of live cable, on-demand and DVR content. Speaking at the Consumer Electronics Show in Las Vegas, they promised an intuitive design for searching for content - addressing a common complaint of cable customers.Sony's embryonic effort builds on similar moves by Microsoft Corp and Intel Corp. Viewers could buy viewing packages through Sony, much as customers now do through cable operators like Comcast. As envisioned, the service would allow subscribers to play games, call up TV shows and movies, and tune into broadcast channels via a single box.It was unclear how advanced Sony's project was. It did not announce any deals with media companies, but said details will be forthcoming and the service will be tested and unveiled this year.Sony CEO Kaz Hirai told reporters on Tuesday the company had struck up ""a good dialogue"" with content holders, or media companies. But he stopped short of describing the impact on the cable industry.Hirai denied that Sony's service would compete with pay TV companies such as Comcast or DirecTV even though it plans to sell consumers a package of live television channels, which they currently get through cable providers. ""We're offering live TV and we're combining it with other video services... We don't set out to do this and say we're going to compete with cable companies,"" he told reporters. ""Whether you believe it's competitive or not, that's your question.""Sony, which already owns a major film and entertainment production business, says it is trying to create a more personal service for consumers accustomed to getting much of their TV content through cable providers.Intel Corp also tried to shake up the traditional TV industry with Intel TV. But the chipmaker has struggled to seal deals with major media corporations, and is looking to sell the business.Negotiations between new players and entrenched cable and media industry companies have been tricky. Industry sources say the difficulty of working out subscriber fees, plus media providers' reluctance to jeopardize long-established relationships and businesses, have complicated efforts by Apple  and Intel to stream content directly off the cloud and into living rooms. TOUCH AND GO Hirai said the Playstation's installed user-base of about 70 million households gave Sony a competitive advantage. Microsoft Corp, the other big purveyor of gaming consoles, is also battling for a slice of the increasingly crowded living-room entertainment space. It plans to develop its own programs while ensuring that the Xbox One console streams popular media apps such as Netflix.Meanwhile, on-demand services such as Netflix, Hulu and Amazon's Instant Video are rapidly expanding their audience.""For years, consumer electronics companies have tried in various forms to transform the living room and the home entertainment experience because it is fundamentally outdated and flawed,"" Playstation chief Andrew House told the Las Vegas crowd earlier on Tuesday.House also said Sony has sold 4.2 million PlayStation 4 game consoles as of Dec. 28, surpassing the 3 million Microsoft Xbox One devices sold as of end-2013.Sony also plans to launch ""PlayStation Now"" this summer, a service that will stream games from remote cloud-based servers to consoles, TVs, tablets and smartphones, House said.That cloud-gaming service incorporates technology from Gaikai, a California-based company Sony acquired for $380 million in 2012.On Tuesday, shares in Gamestop Inc plunged 8.4 percent to $44.14 on fears that the cloud-based gaming service -- which can stream older games to the PS4 -- will jeopardize the retailer's large and growing used-game business.",2014-01-07,MSFT,"Tue Jan 7, 2014 | 4:46pm EST",UPDATE 2-Sony to test PlayStation-based cloud TV service,http://www.reuters.com//article/ces-sony-idUSL2N0KH1IM20140107?type=companyNews,0.8573,0.05,0.883,0.067
