,Article,Date,Symbol,Time,Title,Url,compound,neg,neu,pos
0,"  (Adds details from decision, case history, comments, first-quarter results, byline)By Jonathan StempelNEW YORK, April 23 A U.S. appeals court has revived a European Union lawsuit accusing R.J. Reynolds of running a global money-laundering scheme with organized crime groups that involved the smuggling of drugs and cigarettes.The 2nd U.S. Circuit Court of Appeals in New York said a lower court judge erred in finding that a U.S. anti-racketeering law known as RICO did not cover foreign conduct, barring claims by France, Germany, Italy and 23 other European countries.In a lawsuit begun in 2002, the EU had sued RJ Reynolds and related entities for unspecified damages, accusing them of running a decade-long scheme involving Colombian and Russian crime syndicates that hurt economies and legitimate marketplaces, and deprived member nations of tax revenue.RJ Reynolds is now part of Reynolds American Inc, the 2nd-largest U.S. tobacco company, whose cigarette brands include Camel and Pall Mall.Writing for a unanimous three-judge panel, Circuit Judge Pierre Leval said the U.S. Congress ""unmistakably"" intended RICO to cover conduct such as RJ Reynolds' alleged wrongdoing.He said this was because some of the criminal laws underlying RICO necessarily involve foreign conduct, and that violating those laws can provide a basis for a finding of ""racketeering activity"" that is punishable under RICO.""Indeed, it is hard to imagine why Congress would incorporate these statutes as RICO predicates if RICO could never have extraterritorial application,"" he wrote. RICO stands for Racketeer Influenced and Corrupt Organizations. The case is the latest to turn on a 2010 U.S. Supreme Court decision, Morrison v. National Australia Bank, that found a presumption against applying U.S. laws to conduct that occurred outside the country.Wednesday's decision overturned a 2011 dismissal of claims brought under federal and New York state law by U.S. District Judge Nicholas Garaufis in Brooklyn. It returned the case to his court for further proceedings.Bryan Hatchell, a Reynolds American spokesman, said the company is considering its options, including an appeal.""Several alternative grounds for dismissing the case exist, and we will ask the district court to dismiss the case again on those grounds,"" he said. ""We continue to believe that the lawsuit is entirely baseless in both fact and law."" NO CARTE BLANCHE As described by the 2nd Circuit, the alleged scheme began with the smuggling of illegal narcotics into Europe by Colombian and Russian crime groups, with euro-denominated proceeds from the sale of those drugs then ""laundered"" by money brokers.Importers would allegedly use these proceeds later to buy RJ Reynolds cigarettes via wholesalers, with payments and shipments shielded from government scrutiny. Brokers using funds derived from the importers would then allegedly repeat the cycle.The EU accused the RJ Reynolds entities of essentially directing the scheme from the United States, using U.S. mails and wires and frequent travel by employees to Colombia. In dismissing the case, Garaufis said RICO did not apply because the scheme was centered on foreign crime groups operating outside the country.Leval, however, said that standard could create ""illogical"" results, such as immunizing people from RICO liability for murders and kidnappings in the United States simply because they were done in conjunction with a foreign enterprise.""Surely the presumption against extraterritorial application of United States laws does not command giving foreigners carte blanche to violate the laws of the United States in the United States,"" he wrote.""We conclude that RICO applies extraterritorially if, and only if, liability or guilt could attach to extraterritorial conduct under the relevant RICO predicate,"" Leval added.The 2nd Circuit took more than two years to decide the case, having heard oral arguments on Feb. 24, 2012.John Halloran, a lawyer for the EU countries, did not immediately respond to requests for comment.In afternoon trading, Reynolds American shares were down 62 cents at $54.39 on the New York Stock Exchange.The case is European Community v. RJR Nabisco Inc et al, 2nd U.S. Circuit Court of Appeals, No. 11-2475.   (Reporting by Jonathan Stempel in New York; Editing by Andrea Ricci and Jonathan Oatis)",2014-04-23,RAI,"Wed Apr 23, 2014 | 1:17pm EDT",UPDATE 1-U.S. court revives EU money laundering case vs RJ Reynolds,http://www.reuters.com//article/rjreynolds-eu-moneylaundering-idUSL2N0NF14S20140423?type=companyNews,-0.9945,0.114,0.855,0.031
1,"  NEW YORK, April 23 A U.S. appeals court has revived a lawsuit by 26 European countries that accused R.J. Reynolds Tobacco and related entities of running a global money-laundering scheme with organized crime groups.The 2nd U.S. Circuit Court of Appeals in New York said a lower court judge erred in concluding that a U.S. anti-racketeering law, the Racketeer Influenced and Corrupt Organizations (RICO) statute, cannot apply to foreign enterprises or to conduct outside the United States.""With respect to a number of offenses that constitute predicates for RICO liability and are alleged in this case, Congress has clearly manifested an intent that they apply extraterritorially,"" Circuit Judge Pierre Leval wrote for a unanimous three-judge panel. ""As to the other alleged offenses, the complaint alleges sufficiently important domestic activity to come within RICO's coverage."" Several defendants were named, including R.J. Reynolds Tobacco's parent Reynolds American Inc. The 2nd Circuit sent the case back to the lower court for further proceedings. Lawyers for the European countries did not immediately respond to requests for comment. Reynolds American and lawyers for the defendants did not immediately respond to similar requests. The case is European Community v. RJR Nabisco Inc et al, 2nd U.S. Circuit Court of Appeals, No. 11-2475.       (Reporting by Jonathan Stempel in New York; Editing by Andrea Ricci)",2014-04-23,RAI,"Wed Apr 23, 2014 | 11:07am EDT",U.S. court revives Europe money laundering case vs R.J. Reynolds,http://www.reuters.com//article/rjreynolds-eu-moneylaundering-idUSL2N0NF0WZ20140423?type=companyNews,-0.8591,0.102,0.847,0.051
2,"   By Olivia Oran and Soyoung Kim | NEW YORK  NEW YORK Reynolds American Inc (RAI.N) is in active discussions to buy Lorillard Inc LO.N in a complicated, three-way transaction that could see British American Tobacco PLC (BATS.L) take a major role to back a potential merger, according to people familiar with the matter.The proposed deal, which is in late stage talks, would unite the second- and third-largest U.S. tobacco companies that have a combined market value of nearly $55 billion, putting brands such as Reynolds' Camel and Lorillard's Newport under one roof.The companies are working to finalize an agreement in as soon as a matter of weeks but the talks will likely take longer given the complex structure, the people said, asking not to be named because the matter is not public.Reynolds, in which British American Tobacco (BAT) has a 42 percent stake, has a market capitalization of $32 billion after its shares rose 4.4 percent Wednesday on news of the merger talks. Shares of Lorillard jumped more than 10 percent, giving it a market capitalization of $22.7 billion.Because Reynolds plans to use its own stock to pay for part of the Lorillard deal, BAT's holding in Reynolds would decrease if the merger goes through.One option is for BAT to help finance Reynolds' bid so it would keep its ownership in the combined company at current levels, one person said. BAT's involvement could also take different forms, another person added. Reynolds, Lorillard and BAT are working with financial advisers on the proposed deal and talks have been underway for months, the people said, cautioning that there are many moving pieces and discussions could still fall apart.A merger between Reynolds and Lorillard would create a formidable rival to Marlboro cigarette maker Altria Group Inc (MO.N), the market leader with a roughly 50 percent share of the U.S. tobacco industry.Reynolds and Lorillard have a market share of 27 percent and 15 percent, respectively, and the proposed combination would face substantial antitrust issues. The companies are hammering out details of potential divestitures in order to address regulatory concerns, according to the people familiar with the matter.All the people asked not to be named because they were not authorized to speak with the media. Representatives for Reynolds and BAT declined to comment. Lorillard could not be immediately reached for comment.Buying Lorillard would boost Reynolds' position in the fast-growing electronic cigarettes market at a time when U.S. tobacco companies are grappling with declining sales due to government regulation. Lorillard's blu product is the leading e-cigarette brand, with a U.S. market share of around 50 percent. E-cigarettes are crucial to the three major U.S. tobacco companies, which have bought or developed their own brands in recent years. Sales of the electronic products in the U.S. are expected to outpace traditional cigarettes by 2020.Reynolds has its own e-cigarette product called Vuse, which is currently sold in only two U.S. states, and is in the process of rolling out nationwide. Altria Group has the MarkTen brand and also is going nationwide.But the possibility of a tie-up between Reynolds and Lorillard has raised some eyebrows from analysts, as the Food and Drug Administration has said it is considering restricting or banning menthol cigarettes, which make up the majority of Lorillard's sales.The percentage of adult smokers in the United States fell to 19 percent in 2011 from 22.8 percent 10 years earlier, according to the Centers for Disease Control and Prevention.Merger speculation involving tobacco companies has increased after the Financial Times said in March that Reynolds was exploring a bid for Lorillard. The Times of London separately reported this month BAT is exploring possible deals for either Reynolds or Lorillard.(Additional reporting by Martinne Geller; Editing by Tom Brown, Meredith Mazzilli and Eric Walsh)",2014-05-21,RAI,"Wed May 21, 2014 | 5:40pm EDT","Exclusive: Reynolds American, Lorillard in advanced merger talks",http://www.reuters.com//article/us-lorillard-reynolds-amricn-idUSBREA4K13A20140521?type=companyNews,0.987,0.01,0.919,0.071
3,"  WASHINGTON May 22 An acquisition of U.S. cigarette-maker Lorillard Inc by Reynolds American Inc  could face a bumpy road with antitrust regulators, experts said, with some predicting the deal could be blocked outright and others saying it could only go through with significant divestitures.The combination, which would bring Reynolds' Camel and Lorillard's Newport brands under one corporate roof, would join companies controlling 27 percent and 15 percent of the U.S. cigarette market, respectively. Marlboro maker Altria Group Inc  is the market leader with roughly 50 percent.Reynolds is in active talks to buy Lorillard in a complicated three-way transaction in which British American Tobacco could take a role, people familiar with the matter told Reuters on Wednesday.Among six antitrust experts surveyed by Reuters, two predicted it would be blocked, and one said it should be stopped but might survive an antitrust review because the product was cigarettes. Three said regulatory agencies would likely allow it to go through with asset sales.Beyond the market concentration in traditional cigarettes, the new company's market share in electronic-cigarettes could draw scrutiny. Lorillard's Blu currently controls about 50 percent of the market, but Reynolds plans to roll out its Vuse brand nationwide this summer. It remains unclear whether the merged company would keep both brands.E-cigarettes are crucial to the three major U.S. tobacco companies, which have bought or developed their own brands in recent years. Sales of the electronic products in the United States are expected to outpace traditional cigarettes by 2020. Still, traditional cigarettes now account for the vast majority of the industry's sales and it was not immediately clear how much regulators would focus on the emerging technology.""That's a significant increase in concentration in an already highly concentrated market. I don't see how that gets approved,"" said David Smutny, a veteran of the Justice Department who is now at Orrick, Herrington & Sutcliffe LLP.While the government is trying to discourage smoking, regulators may not ignore the possible impact of the deal on cigarette prices. ""Are the FTC or (Justice Department) going to let a merger go through that will result in higher prices because they think consumption of the product should be reduced?"" said Bernard Nigro, an antitrust expert at law firm Fried, Frank, Harris, Shriver and Jacobson LLP. ""I would be surprised if that were the outcome.""Others said there would be little public outcry about the potential for higher cigarette prices. ""There's not a League of Addicted Smokers who are going to yell bloody murder about this,"" said one Justice Department veteran, Peter Carstensen, now at the University of Wisconsin Law School. He said that previously he would have expected a deal involving such large market shares to be shot down quickly, but that deals such as the settlement that allowed the American Airlines merger have made him think that a Lorillard-Reynolds deal might have a chance with regulators.Analysts at Morningstar similarly argued that price would loom as less of a factor than in other industries.Wells Fargo analyst Bonnie Herzog said the chances are high, 80 percent, that the deal would occur, but that it might require Reynolds to divest brands, including Kool, Winston and Salem, which it already could be ""shopping"".The 2004 merger of B.A.T's U.S. business with R.J. Reynolds, flew through regulatory scrutiny relatively unscathed.Beyond the health concerns associated with cigarettes in general, Lorillard has come under particular scrutiny because it now accounts for 65 percent of the U.S. menthol market, which could come under pressure from new regulations in the coming years.   (Reporting by Diane Bartz; Editing by Peter Galloway)",2014-05-22,RAI,"Thu May 22, 2014 | 3:57pm EDT",Lorillard-Reynolds cigarette deal would face regulatory risk -antitrust experts,http://www.reuters.com//article/lorillard-reynolds-amricn-antitrust-idUSL1N0O81CR20140522?type=companyNews,0.7357,0.058,0.868,0.074
4,"   By Jilian Mincer | NEW YORK  NEW YORK When Lorillard Inc bought the blu eCigs brand two years ago, the electronic cigarette had a 10 percent share of a tiny U.S. market, generating about $50 million in sales. It was available in only 12,000 retail outlets and over the Internet. Today, the U.S. tobacco company’s marketing and distribution muscle, including its use of frequent TV commercials and concert sponsorships, has taken blu into 149,000 outlets and driven its U.S. market share to about 47 percent. Annual sales have quadrupled to more than $200 million.The turbo-charged growth means that blu and Lorillard's British SKYCIG e-cigarette brand may be the assets with the sweetest potential for Reynolds American Inc as it holds talks over a deal to acquire its U.S. rival. Both brands would complement Reynolds' new Vuse e-cigarettes brand, due to go national this summer, and vault the combined company into an undisputed leadership position in the young market.And the gains in e-cigarette sales may have only just begun. Some Wall Street analysts see e-cigarettes and other “vapor products” overtaking traditional tobacco sales within six years.""Acquisition of Lorillard would give Reynolds a distinct advantage in the e-cig market,"" said Steve Marascia, Director of Research at Capitol Securities Management. Reuters reported last week that the companies were in late- stage talks that would combine the second and third-largest U.S. tobacco companies, according to people familiar with the matter. A combination of Lorillard and Reynolds, which is 42 percent owned by British American Tobacco, would create a formidable rival to Altria Group Inc, which owns the Marlboro brand and controls about 50 percent of the traditional cigarette market in the U.S.E-cigarettes are slim, reusable, metal tube devices containing nicotine-laced liquids that come in exotic flavors. When users puff, the nicotine is heated and released as a vapor containing no tar, unlike conventional cigarette smoke. Taking the lead position in e-cigarettes is appealing but given the market’s nascent nature, it is not a sure bet. New brands could easily grab market share, and there have been signs that other vaping products, including larger ""tank""-based devices, may be gaining popularity. These products are typically less expensive to use, and can provide a stronger nicotine delivery. ""I think it's more of a hedge,"" said Morningstar analyst Philip Gorham in reference to the e-cigarettes part of any Lorillard acquisition. ""But if e-cigs take off, it will be the future, and they'll be glad they invested.""MORE THAN MENTHOL      Lorillard's popular Newport menthol cigarette brand, whose sales have held steady even as cigarette smoking in the United States has declined, is likely to be the immediate driver of any deal. Newport accounts for 37 percent of the U.S. menthol market and 12.5 percent of overall cigarette sales.  U.S. sales of conventional cigarettes are forecast to drop  to $15.3 billion in 2023 from $28.3 billion in 2013, according to a recent report from Wells Fargo Securities. In contrast, it sees revenue from e-cigarettes and other vapor devices growing to $24 billion by 2023 from $1.5 billion last year. Altria is also getting into the game, though it only introduced its MarkTen brand in August 2013 in Indiana. It plans a nationwide rollout next month.Lorillard bought blu two years ago from founder Jason Healy and his investors for $135 million. A year later, it paid $49 million for SKYCIG, now the leading e-cigarette in Britain.   The deals were part of a strategy by Lorillard CEO Murray Kessler to expand its offerings beyond conventional cigarettes. Formerly at Altria, he helped build that company's Skoal and Copenhagen into two of the best-selling smokeless, or chewing tobacco, brands. Morningstar analyst Gorham estimates blu is currently worth $500 million to $1 billion, though it may account for a higher number in any deal for Lorillard, whose overall market value is currently about $22 billion.  ""Because Big Tobacco really wants a piece of the action, I could be low-balling it,"" he said.Since the vapor market is still in its early stages, it is difficult to anticipate how it may evolve. Regulatory changes could have a big impact. In April, the U.S. Food and Drug Administration issued proposed rules that would ban sale of e-cigarettes to anyone under 18 and require companies to list ingredients. But the rules so far would not restrict flavored products, online sales or advertising. The big tobacco companies are expected to be in a much better position than their dozens of smaller rivals to handle any new oversight thanks to their long experience dealing with regulators and battling anti-tobacco lawsuits.They may also have an upper hand in assuring quality control as the industry comes under stepped-up scrutiny after recent horror stories about the dangers of accidental poisoning from some ingredients on the market.    ""The big three tobacco guys will be the big three e-cigarette companies because of their resources, relationship with distributors and ability to comply with the FDA faster than competitors,"" RBC Capital Markets LLC analyst Nik Modi said, referring to the U.S. Food and Drug Administration.   (Reporting By Jilian Mincer; Editing by Martin Howell)",2014-05-30,RAI,"Fri May 30, 2014 | 1:24am EDT",E-cigarettes could sweeten potential Reynolds-Lorillard deal,http://www.reuters.com//article/us-usa-tobacco-ecigarettes-analysis-idUSKBN0EA0CF20140530?type=companyNews,0.9894,0.037,0.874,0.089
5,"   By Olivia Oran and Soyoung Kim | NEW YORK  NEW YORK Imperial Tobacco Group Plc IMT.L is evaluating a deal for assets likely to be divested from Reynolds American Inc (RAI.N) and Lorillard Inc LO.N if the two U.S. tobacco companies proceed with a proposed combination, according to people familiar with the matter.Reynolds and Lorillard are in advanced talks about a deal that would merge the No.2 and No.3 U.S. cigarette makers, Reuters previously reported. The companies have discussed divesting some brands to address potential antitrust concerns. U.K.-based Imperial, the world's fourth-largest tobacco group that is known for Gauloises and Davidoff cigarettes, has held discussions about acquiring these brands and is working with advisers to study the deal, the people said.The scope of the potential divestiture is expected to be significant, and the parties may try to line up a buyer for these assets before finalizing a merger, the people said, asking not to be named because the matter is not public. Representatives for Reynolds, Lorillard and Imperial did not immediately respond to requests for comment.Some analysts have said a potential divestiture could top $5 billion and could include Reynolds brands like Kool and Salem. Purchasing sizable assets from the U.S. tobacco makers would give Imperial additional scale in a competitive and declining U.S. tobacco market, roughly half of which is controlled by Marlboro cigarette maker Altria Group Inc (MO.N). Reynolds, which is 42 percent owned by British American Tobacco PLC (BATS.L), and Lorillard have a market share of 27 percent and 15 percent, respectively. The proposed combination would face substantial regulatory issues.Having an agreement in place to divest assets would be crucial to success of a deal, which is already complicated with multiple parties and various moving pieces. British American Tobacco is part of the discussions and is expected to play a major role in backing any merger, such as helping finance Reynolds' bid for Lorillard, Reuters reported last month.While talks have been going on for months and progressed to advanced stages, they could fall apart any time, given the complexity, people familiar with the matter have said. (Reporting by Olivia Oran and Soyoung Kim in New York; Editing by Jan Paschal)",2014-06-11,RAI,"Wed Jun 11, 2014 | 7:56pm EDT",Exclusive: Imperial eyes assets from possible Reynolds-Lorillard deal - sources,http://www.reuters.com//article/us-imperial-divestiture-idUSKBN0EM2TP20140611?type=companyNews,0.9864,0.0,0.88,0.12
6,"  June 12 The following corporate finance-related stories were reported by media:* Imperial Tobacco Group Plc is evaluating a deal for assets likely to be divested from Reynolds American Inc  and Lorillard Inc if the two U.S. tobacco companies proceed with a proposed combination, according to people familiar with the matter. * Private equity-owned chemical distributor Univar Inc is poised to select Deutsche Bank Group AG, Goldman Sachs Group Inc and Bank of America Corp to lead an initial public offering, according to people familiar with the matter. * German conglomerate Siemens is in talks with Japan's Mitsubishi Heavy Industries on a possible joint bid for the energy assets of France's Alstom, a source close to Siemens told Reuters on Wednesday. For the deals of the day click onFor the Morning News Call-EMEA newsletter click on     (Compiled by Tasim Zahid in Bangalore)",2014-06-12,RAI,"Thu Jun 12, 2014 | 12:26am EDT",Market Chatter- Corporate finance press digest,http://www.reuters.com//article/market-chatter-idUSL4N0OT17Q20140612?type=companyNews,0.6908,0.0,0.93,0.07
7,"  (Adds Altria comment, Reynolds and Lorillard not immediately available for comment)By Jonathan StempelNEW YORK, June 18 A federal judge said on Wednesday New York City may prevent retailers from offering discounts on cigarettes and other tobacco products, rejecting an industry effort to halt enforcement of a law designed to curb tobacco purchases.U.S. District Judge Thomas Griesa in Manhattan said the city may block stores from selling the products at below list price, whether by running sales, redeeming coupons, offering bulk discounts or providing free lighters or other non-tobacco products with purchases.Industry trade groups, as well as cigarette makers, including Philip Morris parent Altria Group Inc, Reynolds American Inc and Lorillard Inc, complained that the limits violated their free speech rights and were pre-empted by other federal and state laws.The limits on discounts were part of a sweeping law signed last November by former Mayor Michael Bloomberg as part of an effort to dissuade people from smoking. Other changes included raising the minimum legal age to buy tobacco to 21 from 18, setting a minimum $10.50 price for a pack of cigarettes, boosting penalties for illegal tobacco sales and increasing enforcement against non-payment of excise taxes.In upholding the limits on discounts, Griesa said pricing restrictions ""designed to discourage consumption of a potentially harmful product"" were constitutional so long as retailers could still provide ""truthful, non-misleading information"" to consumers.""The ordinance only regulates an economic transaction - the sale of tobacco products below the listed price,"" he wrote. ""It does not restrict the dissemination of pricing information and thus, it does not violate the First Amendment."" Altria spokesman Brian May said: ""We disagree with the court's decision, and are considering our appellate options.""Spokesmen for Reynolds American and Lorillard, as well as lawyers for both companies, did not immediately respond to requests for comment. ""This is a huge victory for the city's comprehensive efforts to reduce tobacco usage,"" Nicholas Ciappetta, a senior lawyer for the city, said in a statement.Bloomberg's more than decade-old campaign to ban smoking in various public and private places and to discourage New Yorkers from smoking altogether has become a blueprint for other cities.The City Council has estimated that the enacted changes have helped reduce smoking rates in the city by nearly one-third for adults and roughly one-half for children.Bloomberg left office 5-1/2 months ago, after serving 12 years as mayor.The case is National Association of Tobacco Outlets Inc et al v. City of New York et al, U.S. District Court, Southern District of New York, No. 14-00577.       (Reporting by Jonathan Stempel in New York; Editing by Dan Grebler)",2014-06-18,RAI,"Wed Jun 18, 2014 | 5:11pm EDT",UPDATE 1-Cigarette makers lose challenge to NYC's no-discount law,http://www.reuters.com//article/newyork-cigarettes-discounts-idUSL2N0OZ25220140618?type=companyNews,-0.8266,0.066,0.879,0.055
8,"  (Adds Lorillard, UBS, T-Hrvatski Telekom, MMX, Melrose, Unipetrol)July 3 The following bids, mergers, acquisitions and disposals were reported by 1700 GMT on Thursday:** Tobacco majors Lorillard Inc and Reynolds American Inc are likely to merge as early as end of July, CNBC reported, citing sources. Reuters, in May, exclusively reported that Reynolds American was in active discussions to buy Lorillard in a complicated, three-way transaction that could see British American Tobacco PLC take a major role to back a potential merger.** Investment bank UBS said on Thursday it was selling around 3 percent of Spanish steel maker Acerinox  to institutional investors via an accelerated bookbuild.** Czech oil processing group Unipetrol will take full control of the Czech refining sector after it buys the stake of Italy's ENI in their joint refining firm Ceska Rafinerska, Unipetrol said on Thursday.** Croatia's privatization agency CERP plans to sell 3.49 percent of T-Hrvatski Telekom, the biggest local telecom operator said in a bourse filing on Thursday.** Brazil's MMX said late on Wednesday that it approved the lease and possible sale of its Corumba, high-grade iron ore unit, part of efforts to raise cash and restructure the troubled mining company controlled by Brazilian tycoon Eike Batista.** Engineering turnaround specialist Melrose Industries Plc  signaled it could sell its Elster Water business, a maker of water consumption meters, as it scouts for its next big investment.** India's new government is likely to sell a 5 percent stake in state-run Steel Authority of India Ltd in the last week of this month, people directly involved in the process said, kicking off what is set to be a busy divestment schedule.** Activist hedge fund Jana Partners LLC said it planned to ask PetSmart Inc to explore a sale. Jana Partners reported a 9.9 percent stake in the company in a regulatory filing and said it expected to hold discussions with PetSmart's management and board, shareholders and other interested parties.** AbbVie Inc Chief Executive Richard Gonzalez has pressed the case for his $46 billion pursuit of drugmaker Shire Plc in discreet meetings with shareholders in London this week and is now weighing his next move, according to people familiar with the matter.** Ousted American Apparel Inc Chief Executive Dov Charney has handed over his entire stake and voting rights in the struggling retailer to Standard General LP, enabling the fund to negotiate directly with the independent directors over the company's future, two sources close to the matter said on Wednesday.** Mediaset Espana has agreed to sell its 22 percent stake in pay-TV firm Canal+ to Telefonica, Spanish media reported on Thursday, giving full ownership of the TV firm to the telecoms group. ** Nigeria's FBN Insurance on Thursday said it would launch a bid next week to buy out the 28.8 percent minority stake in Oasis Insurance that it does not already own, in a deal valued at 1.03 billion naira ($6.34 million).** Global private equity firm TPG Capital is buying a stake in Hong Kong-based hedge fund sponsor HS Group Ltd (HSG) and establishing a strategic relationship with the company, HSG said in a statement on Thursday.** Japan's Mitsubishi Electric has agreed to take the first step towards a partnership with European missile maker MBDA to develop a medium-range air-to-air missile for the F-35 stealth fighter, two people with knowledge of the matter said.** Italian cement maker Italcementi said on Thursday it had bought more than 95 percent of shares capital of Ciments Francais, reaching the threshold for the squeeze-out of minorities at its French unit.** Volkswagen denied planning a bid for U.S. truck maker Paccar after analysts published comments in a research note from a senior executive of German rival Daimler  saying he had heard of such a plan. According to Bernstein Research, Daimler Trucks Chief Wolfgang Bernhard insisted that ""serious, multiple sources"" informed him that VW was going to bid for Paccar in 2015. ** Outgoing Slovenian Prime Minister Alenka Bratusek said on Thursday she planned to stop all privatizations until a new government was formed after the July 13 snap election. State investment firm SDH is in charge of selling 15 firms that were earmarked for sale last year and include the second largest bank Nova KBM and airport operator Aerodrom Ljubljana.Europe's biggest construction and concessions company, Vinci , had said on Thursday that it was bidding to buy the Slovenian airport operator.** Hungary's government plans to make further acquisitions in the energy sector and is also in advanced talks to buy Bombardier Inc's stake in Hungarian rail transportation firm Bombardier MAV Kft, the development minister said on Thursday.** Fiat SpA said late on Wednesday it had called a shareholder meeting on Aug. 1 to approve the merger between the Italian carmaker and its U.S. unit Chrysler.** RSA Insurance Group Plc has reached an agreement to sell its business in China for 71 million pounds ($119 million), one of several smaller asset sales aimed at shoring up the British company's finances.** Lululemon Athletica Inc founder Dennis Wilson's advisers have been talking to private equity firms including Leonard Green & Partners to find out if they are interested in buying the fashionable yoga gear maker, the Wall Street Journal reported citing people familiar with the matter.** Japan's Dai-ichi Life Insurance Co Ltd will issue up to 275.9 billion yen ($2.7 billion) in new shares to help fund its planned acquisition of U.S. peer Protective Life , according to a regulatory filing with the finance ministry. ** German retailer Metro AG is no longer ruling out selling its stake in Media-Saturn Holding to the electronics chain's founder Erich Kellerhals, a newspaper reported on Thursday, citing a senior Metro executive.** German sports-car maker Porsche said on Thursday it raised its stake in engineering company Bertrandt AG  to about 29 percent.** Swedish center-right government will in coming months unveil a new list of additional state-owned holdings in companies it will seek to sell during a possible third term in office, Finance Markets Minister Peter Norman said on Wednesday.** Turkish Islamic lender Bank Asya said on Thursday reports that exclusive talks had ended with Qatar Islamic Bank over acquiring a stake in the Turkish lender did not reflect the truth.** Zurich Insurance Group AG said it would take a hit of around $300 million to net income after selling its Russian retail business to the OLMA Group, part of the insurer's strategy to shed underperforming units.** Indonesian coal miner PT Bumi Resources Tbk has transferred a 19 percent stake worth $950 million in its unit, Kaltim Prima Coal, to China Investment Corp as part of its debt repayment to the sovereign wealth fund.** Privately held Weinstein Company is looking to spin off its television division into a separate company, seven months after the film studio decided to expand that business, the New York Times reported.** Occidental Petroleum Corp has failed to sell a stake in its Middle East business and now plans to sell some assets piece by piece, Bloomberg reported on Wednesday, citing people with knowledge of the matter.** Russia's Rosneft has submitted details of a deal to buy an oil trading unit of Morgan Stanley to a confidential U.S. committee that evaluates national security risks, the Wall Street Journal reported, citing a source familiar with the matter.** Commercial real estate broker BR Properties SA  sold a stake in a real estate investment trust managed by investment banking firm Grupo BTG Pactual SA for 418.6 million reais ($188 million), according to a securities filing on Wednesday.** State-run Caixa Economica Federal, Brazil's largest mortgage lender, is considering selling a pool of distressed consumer loans to investors, the first step in a broader plan to get rid of bad loans and free up capital, a source said on Wednesday. About 3 billion reais ($1.35 billion) worth of defaulted loans could be sold to funds that specialize in dealing with distressed assets, the source said.   ($1 = 2.22 Brazilian reais)   (Compiled by Rohit T.K. in Bangalore)",2014-07-03,RAI,"Thu Jul 3, 2014 | 1:00pm EDT",Deals of the day- Mergers and acquisitions,http://www.reuters.com//article/deals-day-idUSL4N0PE2CW20140703?type=companyNews,0.9831,0.024,0.921,0.055
9,"  July 3 Tobacco majors Lorillard Inc and Reynolds American Inc are likely to merge as early as end of July, CNBC reported, citing sources.Reuters, in May, exclusively reported that Reynolds American was in active discussions to buy Lorillard in a complicated, three-way transaction that could see British American Tobacco PLC take a major role to back a potential merger. Lorillard share rose as much as 6.2 percent, while those of Reynolds American were up nearly 3 percent. Imperial Tobacco Group Plc was evaluating a deal for assets likely to be divested from Reynolds American and Lorillard if the two U.S. tobacco companies proceed with a proposed combination, Reuters reported last month. Lorillard had a market capitalisation of $22.17 billion as of Wedesday's close, while Reynolds' market value was $32.25 billion.   (Reporting by Shailaja Sharma in Bangalore; Editing by Saumyadeb Chakrabarty)",2014-07-03,RAI,"Thu Jul 3, 2014 | 11:43am EDT",Tobacco majors Lorillard and Reynolds American near merger - CNBC,http://www.reuters.com//article/lorillard-reynolds-amricn-idUSL4N0PE3SQ20140703?type=companyNews,0.7906,0.0,0.934,0.066
